"Geregistreerde diefstallen; diefstallen en verdachten, regio"
"Gebruik van Geweld: Alle diefstallen"
"Regio's: Nederland"
"Onderwerp: |Totaal geregistreerde diefstallen"
"";"Perioden"
"";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018*";"2019*"
"Soort diefstal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Alle diefstallen";"670470";"677970";"656450";"650650";"592590";"549105";"498285";"428135";"380325";"374160"
"Diefstal van fiets";"107465";"105690";"106260";"107170";"110945";"106875";"96675";"78835";"68190";"66690"
"Diefstal van bromfiets/snorfiets";"17345";"18405";"17845";"16070";"16745";"16760";"14400";"12930";"14075";"15590"
"Diefstal van motor/scooter";"2465";"2430";"2155";"2240";"1990";"2090";"1785";"1840";"1940";"1975"
"Diefstal van personenauto";"14450";"13605";"12725";"13400";"12235";"11410";"10080";"8665";"7660";"7085"
"Diefstal van vervoermiddel (overig)";"5165";"5320";"5295";"5660";"5435";"4770";"4270";"3660";"3425";"3465"
"Diefstal van vaartuig";"1180";"1175";"1065";"1015";"985";"805";"675";"590";"525";"475"
"Diefstal uit/vanaf personenauto";"121685";"115295";"100610";"97480";"85780";"82900";"78115";"64585";"54010";"48995"
"Diefstal uit/vanaf vervoermiddel(overig)";"17850";"18160";"15435";"15775";"16005";"14570";"12755";"12200";"11830";"14935"
"Diefstal uit/vanaf vaartuig";"2040";"2070";"2195";"2205";"2035";"1605";"1585";"1385";"1195";"1120"
"Diefstal van dier";"345";"335";"345";"255";"255";"220";"200";"150";"115";"140"
"Straatroof";"8260";"8525";"8155";"7180";"5525";"4820";"4260";"3665";"3580";"3835"
"Zakkenrollerij";"33425";"35290";"38945";"43945";"34985";"30575";"26380";"21730";"15590";"13375"
"Totaal diefstal uit woning/schuur/e.d.";"102745";"108655";"112190";"111095";"93365";"86155";"74240";"64580";"55555";"51740"
"Diefstal/inbraak uit woning";"82690";"89145";"92075";"87950";"71440";"64890";"55720";"49330";"43020";"39480"
"Diefstal/inbraak uit schuur/garage/e.d";"20055";"19510";"20115";"23140";"21925";"21260";"18520";"15245";"12530";"12260"
"Winkeldiefstal";"41345";"42610";"42775";"43555";"42300";"40760";"39490";"38050";"37995";"39800"
"Diefstal/inbraak uit winkel/bedrijf/e.d.";"34960";"32045";"28040";"27385";"23665";"22435";"20515";"17705";"15265";"14810"
"Diefstal/inbraak uit hotel/pension";"910";"750";"780";"930";"900";"920";"845";"785";"930";"990"
"Diefstal/inbraak uit school";"5250";"4675";"4260";"3630";"3360";"2780";"2390";"1885";"1740";"1630"
"Diefstal/inbraak uit sportcomplex";"5140";"5505";"4805";"4775";"4225";"3455";"3240";"2620";"2035";"2220"
"Diefstal/inbraak uit defensiecomplex";"670";"680";"565";"400";"530";"375";"315";"270";"280";"220"
"Diefstal/inbraak uit gebouw (overig)";"10635";"9045";"8190";"8080";"7045";"6635";"5790";"4895";"4240";"3730"
"Overval";"2770";"2520";"2135";"1705";"1330";"1230";"1155";"1120";"1155";"1180"
"Diefstal en inbraak (overig)";"134380";"145170";"141675";"136705";"122950";"106965";"99130";"85990";"78985";"80165"
"Bron: CBS"
